id,name,type,rarity,energyCost,glucoseChange,damageWeight,blockWeight,effectVPCost,finalDamage,finalBlock,description,loreDescription
starter_rice,米饭,Starter,Common,1,0.1,1.0,0.0,0,6,0,"造成 {D} 点伤害，{G} 血糖。","日常膳食中最基础的淀粉类主食，在消化道中迅速分解为葡萄糖，提供能量的同时也会使血糖小幅上升。"
starter_walk,散步,Starter,Common,1,-0.1,0.0,1.0,0,0,5,"获得 {B} 点格挡，{G} 血糖。","饭后温和的有氧活动，通过轻度肌肉收缩来平稳消耗血液中的葡萄糖。"
diet_feast,丰盛大餐,Diet,Common,2,0.6,1.0,0.0,0,18,0,"造成 {D} 点伤害，{G} 血糖。","富含高碳水化合物与高脂肪的餐食，提供大量能量的同时也会对胰腺造成极大的代谢负担。"
diet_oat_bread,燕麦面包,Diet,Common,1,0.2,0.0,1.0,0,0,7,"获得 {B} 点格挡，{G} 血糖。","由低升糖指数的膳食燕麦制成的面包，升糖缓慢平稳，为身体提供长效防护。"
diet_lettuce,爽脆生菜,Diet,Common,1,0.0,0.0,1.0,3,0,3,"获得 {B} 点格挡。获得 {E0_V2} 层「缓释」。","极低热量的绿叶蔬菜，富含不可溶性膳食纤维，能在胃肠道中延缓葡萄糖的吸收速度。"
diet_apple,新鲜苹果,Diet,Common,0,0.8,1.0,0.0,0,4,0,"造成 {D} 点伤害 {E0_V1} 次，{G} 血糖。","含有丰富维生素与果胶的水果，虽然味道甘甜，但合理进食不会引起血糖剧烈波动。"
diet_soda,无糖气泡水,Diet,Uncommon,1,0.0,0.0,0.0,8,0,0,"抽 {E0_V1} 张牌。获得 {E1_V2} 层「缓释」。","零热量、零升糖指数的无糖饮料，能提神醒脑，且对血糖没有任何代谢负担。"
diet_milk,低脂纯牛奶,Diet,Rare,1,0.6,0.0,1.0,0,0,13,"获得 {B} 点格挡，{G} 血糖。","过滤了多余脂肪并富含优质蛋白的乳制品，能为身体提供稳定的营养保护。"
exe_yoga,瑜伽吐纳,Exercise,Common,0,-0.5,0.0,1.0,0,0,4,"获得 {B} 点格挡，{G} 血糖。","利用静力拉伸与腹式呼吸来调节身体状态的有氧疗法，不需要消耗过多体力即可平稳降低血糖。"
exe_jogging,匀速长跑,Exercise,Common,0,-0.6,0.0,0.0,6,0,0,"{G} 血糖。获得 {E0_V2} 层「活力」。","中等强度的持续有氧运动，能显着增加肌肉对血液中葡萄糖的摄取效率，并增强心肺耐力。"
exe_sprinting,冲刺短跑,Exercise,Uncommon,1,-0.4,1.0,0.0,2.5,9,0,"造成 {D} 点伤害，{G} 血糖。使目标获得 {E0_V2} 层「脆弱」。","高强度的快速运动，能调动肌糖原进行爆发性消耗，但体能消耗较大。"
exe_rope_skipping,花式跳绳,Exercise,Uncommon,1,-0.4,0.0,1.0,4,0,7,"获得 {B} 点格挡，{G} 血糖。使目标获得 {E0_V2} 层「乏力」。","耗能极高的全身协调性运动，能加速脂肪代谢，减轻体重带来的负担。"
exe_cycling,破风骑行,Exercise,Uncommon,1,-0.6,1.0,0.0,0,14,0,"造成 {D} 点伤害，{G} 血糖。","规律性的下肢骑行运动，能高效促进大肌群消耗，降低血液中多余的糖分。"
exe_extreme,极限运动,Exercise,Rare,2,-0.5,1.0,0.0,-12,11,0,"失去 {E0_V1} 生命值。造成 {D} 点伤害 {E1_V1} 次，{G} 血糖。","挑战极限的超强训练，在对身体产生应急负荷的同时，也能瞬间代谢掉大量糖分。"
med_metformin,基础降糖药,Medicine,Common,1,-2.0,0.0,0.0,6,0,0,"{G} 血糖。","常用的口服降糖药，能有效抑制肝糖输出，并提高身体对胰岛素的敏感性。"
med_insulin_rapid,速效降糖针,Medicine,Uncommon,1,-3.0,0.0,0.0,9,0,0,"{G} 血糖。","见效极快的胰岛素注射剂，能强效且迅速地将异常升高的血糖降至安全范围。"
med_acarbose,限糖药片,Medicine,Uncommon,1,0.0,0.0,0.0,8,0,0,"若当前血糖高于 {E0_V1}，将其复原至 {E0_V1}。","通过延缓小肠内双糖和多糖的分解，从而减缓餐后葡萄糖的吸收速度。"
med_glucagon,控糖胶囊,Medicine,Common,1,2.0,0.0,0.0,6,0,0,"{G} 血糖。","用于应急升糖的制剂，能快速提高血液中的糖分，拉回低血糖导致的虚脱状态。"
med_insulin_fast,快速胰岛素,Medicine,Rare,1,0.0,0.0,0.0,9,0,0,"抽 {E0_V1} 张牌。获得 {E1_V2} 层「敏化」。","快速起效的胰岛素，可迅速促使细胞吸收葡萄糖，改善卡牌周转效率。"
med_insulin_long,长效胰岛素,Medicine,Rare,2,-4.0,0.0,0.0,16,0,0,"{G} 血糖。获得 {E0_V2} 层「敏化」。","在皮下缓慢释放的长效制剂，能提供持续一整天的平稳基础血糖控制。"
